age,gender,item_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,previous_purchases,payment_method,frequency_of_purchases,age_group
60,MALE,17,2,36,45,3,16,0,3.0,Subscribed,0,1,1,2,3,3
59,MALE,2,1,70,15,1,2,1,3.3,Not Subscribed,0,1,10,3,1,3
18,MALE,18,1,96,3,0,5,3,4.9,Not Subscribed,1,1,48,4,5,1
70,MALE,10,3,27,20,1,14,1,3.3,Not Subscribed,3,1,24,3,0,3
20,MALE,23,1,64,11,0,1,3,2.9,Not Subscribed,0,1,42,5,3,1
65,MALE,10,3,23,48,2,12,1,4.4,Not Subscribed,0,1,20,2,6,3
29,MALE,15,0,33,30,0,22,2,3.1,Not Subscribed,3,1,49,0,2,1
22,MALE,10,3,34,32,1,0,3,2.5,Not Subscribed,4,1,25,3,4,1
27,MALE,23,1,35,14,2,7,2,2.6,Not Subscribed,3,1,21,3,2,1
36,MALE,4,3,62,11,1,7,2,4.4,Not Subscribed,2,1,12,5,2,2
59,MALE,3,2,75,34,1,3,0,2.6,Not Subscribed,3,1,21,3,2,3
62,MALE,9,1,29,0,2,9,2,3.3,Not Subscribed,2,1,35,1,4,3
34,MALE,8,0,28,49,1,22,1,3.5,Not Subscribed,1,1,42,2,2,2
59,MALE,24,1,20,0,3,2,1,4.1,Not Subscribed,5,1,3,4,2,3
49,MALE,4,3,96,23,1,18,3,4.0,Not Subscribed,5,1,11,4,1,0
18,MALE,5,1,43,37,2,15,2,2.7,Not Subscribed,0,1,22,4,5,1
55,MALE,16,1,94,49,1,13,0,2.5,Not Subscribed,4,1,47,2,6,0
38,MALE,19,1,81,19,3,23,0,4.3,Not Subscribed,3,1,33,5,2,2
50,MALE,12,0,75,32,1,11,2,3.3,Not Subscribed,2,1,50,3,6,0
61,MALE,8,0,81,37,1,0,2,2.6,Not Subscribed,1,1,46,2,4,3
48,MALE,18,1,92,11,0,6,0,3.750064716541548,Not Subscribed,1,1,34,3,3,0
22,MALE,15,0,96,4,3,17,1,4.0,Not Subscribed,5,1,33,2,4,1
48,MALE,12,0,71,41,2,23,0,2.6,Not Subscribed,4,1,45,0,3,0
57,MALE,22,0,50,24,0,9,2,4.9,Not Subscribed,3,1,32,3,1,0
33,MALE,4,3,72,33,0,4,1,2.9,Not Subscribed,4,1,47,5,1,2
58,MALE,10,3,28,47,1,16,3,3.7,Not Subscribed,4,1,5,4,5,3
37,MALE,23,1,59,2,1,19,0,4.4,Not Subscribed,1,1,49,2,3,2
18,MALE,4,3,33,35,2,2,2,4.4,Not Subscribed,2,1,48,0,4,1
65,MALE,15,0,59,37,0,2,0,3.8,Not Subscribed,1,1,22,1,2,3
62,MALE,1,0,30,11,3,3,1,4.5,Not Subscribed,4,1,45,2,0,3
54,MALE,8,0,85,39,3,5,3,2.6,Not Subscribed,3,1,30,5,5,0
35,MALE,0,0,97,46,0,20,2,3.3,Not Subscribed,5,1,43,1,6,2
34,MALE,24,1,36,3,2,17,0,4.1,Not Subscribed,3,1,48,1,5,2
25,MALE,12,0,85,43,1,21,3,3.0,Not Subscribed,5,1,23,5,3,1
53,MALE,22,0,62,1,1,13,3,3.0,Not Subscribed,2,1,27,4,1,0
45,MALE,11,1,71,47,2,23,3,3.4,Not Subscribed,3,1,7,0,4,0
49,MALE,13,1,21,17,1,21,3,2.7,Not Subscribed,2,1,2,4,6,0
40,MALE,0,0,61,2,1,19,1,3.8,Not Subscribed,3,1,33,4,1,2
38,MALE,15,0,58,6,1,22,1,4.2,Not Subscribed,5,1,27,1,3,2
44,MALE,23,1,80,32,0,10,1,4.7,Not Subscribed,5,1,6,2,3,2
68,MALE,12,0,50,40,0,11,1,4.1,Not Subscribed,0,1,20,5,5,3
60,MALE,20,2,48,7,2,9,3,4.2,Not Subscribed,0,1,46,5,2,3
25,MALE,12,0,40,6,1,1,3,4.8,Not Subscribed,3,1,25,1,5,1
19,MALE,4,3,34,41,2,15,2,3.0,Not Subscribed,2,1,30,0,5,1
57,MALE,4,3,46,28,2,0,0,2.6,Not Subscribed,4,1,48,2,0,0
58,MALE,22,0,27,44,1,1,2,3.2,Not Subscribed,5,1,47,0,6,3
49,MALE,7,0,98,11,2,21,1,3.6,Not Subscribed,3,1,27,2,6,0
19,MALE,23,1,73,32,1,15,0,2.6,Not Subscribed,3,1,45,0,3,1
50,MALE,13,1,28,27,0,6,1,4.4,Not Subscribed,1,1,2,2,6,0
30,MALE,6,0,76,7,3,19,0,3.0,Not Subscribed,2,1,39,1,3,1
52,MALE,23,1,83,42,1,15,0,2.9,Not Subscribed,1,1,24,1,3,0
35,MALE,9,1,23,41,2,4,1,4.3,Not Subscribed,2,1,8,3,1,2
35,MALE,8,0,28,7,1,0,0,3.1,Not Subscribed,1,1,8,0,5,2
33,MALE,24,1,83,20,2,13,1,3.0,Not Subscribed,3,1,6,5,2,2
52,MALE,19,1,96,22,0,22,3,3.6,Not Subscribed,5,1,12,5,3,0
69,MALE,20,2,62,42,1,15,0,2.8,Not Subscribed,5,1,26,0,6,3
27,MALE,18,1,25,26,1,20,0,2.8,Not Subscribed,4,1,50,1,3,1
66,MALE,9,1,97,35,0,22,3,3.750064716541548,Not Subscribed,3,1,2,5,6,3
28,MALE,9,1,61,42,0,5,0,3.0,Not Subscribed,4,1,31,1,1,1
22,MALE,17,2,66,31,2,13,2,4.1,Not Subscribed,3,1,4,2,1,1
69,MALE,9,1,67,46,3,16,1,4.6,Not Subscribed,2,1,32,4,5,3
28,MALE,22,0,80,19,1,17,2,4.8,Not Subscribed,3,1,11,4,1,1
55,MALE,19,1,25,28,0,22,0,2.6,Not Subscribed,3,1,47,0,2,0
30,MALE,8,0,58,31,2,15,0,4.0,Not Subscribed,0,1,37,1,6,1
67,MALE,0,0,96,10,1,4,3,4.2,Not Subscribed,1,1,39,4,3,3
25,MALE,22,0,77,4,0,10,1,4.5,Not Subscribed,5,1,24,2,4,1
49,MALE,1,0,65,13,1,17,2,4.9,Not Subscribed,4,1,11,4,2,0
34,MALE,12,0,36,17,1,9,1,3.1,Not Subscribed,4,1,36,2,6,2
22,MALE,20,2,84,37,1,11,3,4.0,Not Subscribed,3,1,40,3,4,1
63,MALE,24,1,58,8,3,15,0,3.2,Not Subscribed,1,1,25,1,5,3
70,MALE,7,0,62,32,2,4,1,4.3,Not Subscribed,0,1,12,2,0,3
36,MALE,8,0,67,20,2,17,0,2.5,Not Subscribed,5,1,38,1,4,2
42,MALE,23,1,20,14,1,14,1,3.750064716541548,Not Subscribed,1,1,40,1,5,2
27,MALE,14,2,90,33,1,10,2,2.7,Not Subscribed,0,1,10,0,6,1
23,MALE,15,0,58,14,0,0,3,3.4,Not Subscribed,4,1,47,5,3,1
50,MALE,16,1,53,7,3,12,1,4.8,Not Subscribed,5,1,22,3,4,0
56,MALE,6,0,30,31,0,4,3,4.7,Not Subscribed,3,1,35,3,4,0
37,MALE,9,1,65,28,3,23,3,4.7,Not Subscribed,1,1,46,5,3,2
67,MALE,12,0,41,16,1,10,2,3.9,Not Subscribed,4,1,30,4,1,3
67,MALE,16,1,73,12,1,1,1,3.7,Not Subscribed,1,1,20,0,4,3
50,MALE,9,1,98,32,2,20,1,4.3,Not Subscribed,5,1,25,1,3,0
36,MALE,17,2,36,6,3,11,3,4.1,Not Subscribed,0,1,29,1,6,2
62,MALE,24,1,81,48,1,3,2,3.750064716541548,Not Subscribed,1,1,2,5,2,3
65,MALE,19,1,90,20,0,15,3,3.6,Not Subscribed,0,1,32,0,5,3
23,MALE,7,0,83,12,2,5,2,4.8,Not Subscribed,2,1,37,1,4,1
46,MALE,16,1,91,30,3,16,3,2.8,Not Subscribed,0,1,16,0,2,0
18,MALE,13,1,36,14,1,17,2,4.7,Not Subscribed,1,1,32,5,3,1
58,MALE,4,3,53,0,0,17,1,3.9,Not Subscribed,4,1,42,3,1,3
31,MALE,11,1,39,19,1,23,3,2.6,Not Subscribed,5,1,6,2,2,1
39,MALE,6,0,33,34,2,19,3,4.7,Not Subscribed,3,1,23,4,3,2
69,MALE,24,1,76,34,0,8,1,3.5,Not Subscribed,5,1,27,5,1,3
68,MALE,3,2,23,27,0,20,3,4.4,Not Subscribed,4,1,43,4,5,3
41,MALE,11,1,54,39,2,9,0,4.4,Not Subscribed,0,1,25,0,3,2
31,MALE,20,2,89,27,0,16,2,3.0,Not Subscribed,1,1,30,1,2,1
48,MALE,20,2,38,48,1,9,2,4.2,Not Subscribed,4,1,7,0,2,0
59,MALE,8,0,36,41,3,18,3,4.3,Not Subscribed,3,1,17,3,0,3
34,MALE,13,1,66,8,1,22,1,2.6,Not Subscribed,5,1,10,4,3,2
21,MALE,12,0,42,9,0,5,1,3.3,Not Subscribed,5,1,40,5,0,1
29,MALE,12,0,36,16,2,18,3,2.7,Not Subscribed,3,1,50,5,1,1
41,MALE,2,1,86,34,1,7,1,3.750064716541548,Not Subscribed,1,1,24,2,6,2
62,MALE,7,0,49,6,1,6,0,4.0,Not Subscribed,4,1,8,4,2,3
27,MALE,16,1,41,11,1,16,2,4.0,Not Subscribed,2,1,6,0,5,1
49,MALE,5,1,82,9,0,5,1,2.9,Not Subscribed,0,1,44,2,1,0
67,MALE,24,1,53,41,2,18,0,2.6,Not Subscribed,1,1,47,4,5,3
20,MALE,17,2,21,10,1,6,2,4.8,Not Subscribed,1,1,6,5,2,1
37,MALE,1,0,66,19,1,4,0,4.4,Not Subscribed,4,1,11,1,5,2
69,MALE,1,0,89,27,0,14,2,4.0,Not Subscribed,0,1,41,0,0,3
66,MALE,7,0,55,28,0,2,0,3.6,Not Subscribed,0,1,46,5,2,3
37,MALE,15,0,42,33,2,2,2,3.2,Not Subscribed,3,1,9,5,1,2
63,MALE,18,1,52,35,2,14,0,3.1,Not Subscribed,0,1,37,4,4,3
47,MALE,14,2,92,32,1,2,3,4.2,Not Subscribed,1,1,13,4,6,0
26,MALE,13,1,56,41,0,23,2,3.0,Not Subscribed,0,1,24,3,4,1
68,MALE,5,1,96,25,1,8,3,4.2,Not Subscribed,4,1,47,4,5,3
51,MALE,24,1,64,48,1,19,3,2.9,Not Subscribed,3,1,21,5,2,0
48,MALE,5,1,48,6,2,10,3,3.7,Not Subscribed,5,1,22,5,3,0
60,MALE,21,1,83,29,3,0,2,3.6,Not Subscribed,2,1,16,4,5,3
68,MALE,15,0,91,23,0,22,2,3.6,Not Subscribed,4,1,37,3,3,3
25,MALE,0,0,94,49,2,7,0,4.5,Not Subscribed,0,1,3,1,0,1
57,MALE,19,1,62,12,2,18,1,3.2,Not Subscribed,1,1,33,1,1,0
41,MALE,21,1,55,17,1,10,1,3.9,Not Subscribed,3,1,15,3,0,2
59,MALE,4,3,68,36,0,15,1,4.6,Not Subscribed,5,1,42,0,1,3
44,MALE,12,0,76,40,1,9,3,2.5,Not Subscribed,1,1,42,1,1,2
42,MALE,0,0,31,21,1,1,3,4.3,Not Subscribed,1,1,19,0,1,2
35,MALE,1,0,81,29,1,0,1,4.1,Not Subscribed,5,1,26,4,5,2
36,MALE,5,1,83,36,1,18,3,3.750064716541548,Not Subscribed,2,1,39,4,5,2
54,MALE,19,1,21,14,1,1,1,4.8,Not Subscribed,4,1,24,3,4,0
37,MALE,5,1,22,39,1,20,1,4.9,Not Subscribed,1,1,23,3,0,2
20,MALE,24,1,33,13,1,2,2,2.8,Not Subscribed,2,1,44,0,0,1
23,MALE,19,1,23,36,2,0,1,4.9,Not Subscribed,4,1,34,1,4,1
61,MALE,18,1,96,31,0,20,2,3.5,Not Subscribed,2,1,43,0,5,3
37,MALE,12,0,21,30,1,12,1,3.8,Not Subscribed,1,1,45,4,5,2
23,MALE,13,1,39,17,1,24,1,4.5,Not Subscribed,0,1,4,2,6,1
63,MALE,1,0,73,39,2,9,0,3.4,Not Subscribed,1,1,19,2,0,3
47,MALE,11,1,64,18,1,11,1,3.9,Not Subscribed,4,1,29,2,4,0
63,MALE,11,1,68,13,1,0,2,4.1,Not Subscribed,0,1,27,2,0,3
56,MALE,8,0,89,14,0,12,0,3.0,Not Subscribed,1,1,37,2,2,0
68,MALE,2,1,29,23,1,11,2,3.3,Not Subscribed,3,1,11,2,6,3
64,MALE,16,1,97,3,3,20,2,3.750064716541548,Not Subscribed,2,1,28,3,0,3
62,MALE,16,1,45,39,1,14,3,4.3,Not Subscribed,3,1,31,2,6,3
34,MALE,24,1,70,13,0,4,3,4.1,Not Subscribed,2,1,50,5,5,2
49,MALE,4,3,56,8,1,21,2,4.0,Not Subscribed,0,1,42,5,5,0
40,MALE,10,3,55,1,0,16,0,5.0,Not Subscribed,0,1,18,2,3,2
50,MALE,9,1,46,31,2,20,3,3.1,Not Subscribed,0,1,6,2,3,0
25,MALE,15,0,95,42,1,23,3,4.0,Not Subscribed,0,1,33,5,4,1
30,MALE,1,0,88,33,1,12,3,3.2,Not Subscribed,0,1,13,0,1,1
54,MALE,20,2,92,44,0,22,0,3.9,Not Subscribed,4,1,26,4,0,0
40,MALE,21,1,49,29,1,3,2,3.9,Not Subscribed,0,1,17,1,0,2
49,MALE,14,2,89,19,1,9,0,4.5,Not Subscribed,2,1,3,3,6,0
27,MALE,4,3,22,6,3,1,3,4.4,Not Subscribed,5,1,7,4,6,1
27,MALE,17,2,61,12,3,1,2,3.1,Not Subscribed,0,1,46,5,3,1
48,MALE,15,0,29,19,2,13,1,2.9,Not Subscribed,4,1,14,5,2,0
40,MALE,20,2,82,22,1,14,3,3.7,Not Subscribed,2,1,23,0,0,2
67,MALE,1,0,94,8,1,16,1,3.2,Not Subscribed,0,1,20,2,2,3
52,MALE,7,0,99,4,1,13,1,3.5,Not Subscribed,4,1,38,0,3,0
22,MALE,7,0,59,23,2,5,0,3.0,Not Subscribed,2,1,16,5,2,1
62,MALE,3,2,90,46,1,23,2,4.1,Not Subscribed,3,1,48,2,2,3
20,MALE,3,2,100,48,2,18,3,3.750064716541548,Not Subscribed,0,1,8,3,0,1
41,MALE,13,1,62,37,1,2,3,3.8,Not Subscribed,3,1,16,0,4,2
34,MALE,22,0,78,24,1,13,0,4.1,Not Subscribed,3,1,5,1,5,2
23,MALE,9,1,94,35,1,8,1,4.6,Not Subscribed,5,1,14,5,2,1
32,MALE,17,2,74,37,1,24,2,2.5,Not Subscribed,2,1,18,2,6,2
68,MALE,7,0,52,16,3,1,1,3.7,Not Subscribed,1,1,14,3,2,3
30,MALE,10,3,81,44,1,2,0,3.8,Not Subscribed,2,1,5,1,2,1
66,MALE,2,1,20,36,0,16,3,2.6,Not Subscribed,0,1,15,2,2,3
62,MALE,13,1,32,43,3,10,2,3.7,Not Subscribed,2,1,3,5,2,3
50,MALE,3,2,63,26,3,5,0,2.6,Not Subscribed,2,1,12,1,2,0
55,MALE,3,2,79,37,1,5,1,3.1,Not Subscribed,5,1,43,1,2,0
19,MALE,23,1,23,44,1,6,3,2.5,Not Subscribed,3,1,35,2,1,1
67,MALE,6,0,64,16,1,8,3,3.750064716541548,Not Subscribed,1,1,36,0,5,3
18,MALE,21,1,69,14,1,18,3,4.5,Not Subscribed,4,1,3,1,5,1
58,MALE,11,1,69,13,0,11,0,3.4,Not Subscribed,5,1,27,0,0,3
69,MALE,13,1,24,15,0,18,3,3.9,Not Subscribed,2,1,21,0,6,3
62,MALE,18,1,50,12,1,24,2,3.7,Not Subscribed,5,1,18,5,6,3
28,MALE,6,0,97,32,2,21,0,2.6,Not Subscribed,2,1,16,3,6,1
53,MALE,14,2,91,34,2,5,0,3.4,Not Subscribed,5,1,18,5,1,0
27,MALE,2,1,37,12,0,24,1,4.9,Not Subscribed,5,1,19,0,1,1
55,MALE,10,3,55,13,2,24,3,3.9,Not Subscribed,1,1,1,1,0,0
34,MALE,12,0,52,15,3,12,3,3.6,Not Subscribed,1,1,39,0,0,2
25,MALE,8,0,80,12,0,3,1,3.750064716541548,Not Subscribed,4,1,49,5,4,1
66,MALE,21,1,79,37,1,6,1,4.0,Not Subscribed,0,1,43,2,3,3
57,MALE,7,0,23,31,1,4,2,3.6,Not Subscribed,2,1,31,3,2,0
46,MALE,13,1,73,43,0,0,3,3.5,Not Subscribed,3,1,40,5,2,0
38,MALE,6,0,99,29,1,9,0,4.1,Not Subscribed,5,1,2,0,1,2
23,MALE,23,1,22,11,1,18,1,3.0,Not Subscribed,5,1,46,4,2,1
42,MALE,8,0,68,30,1,23,2,4.4,Not Subscribed,5,1,35,3,2,2
25,MALE,5,1,92,21,2,4,1,4.4,Not Subscribed,0,1,42,2,5,1
55,MALE,13,1,77,49,1,22,3,3.7,Not Subscribed,1,1,3,5,3,0
62,MALE,4,3,37,29,3,11,1,4.8,Not Subscribed,4,1,32,3,2,3
41,MALE,15,0,79,29,0,23,3,2.9,Not Subscribed,5,1,48,3,0,2
58,MALE,9,1,51,10,3,16,3,3.1,Not Subscribed,1,1,34,2,6,3
56,MALE,21,1,27,27,1,10,2,4.0,Not Subscribed,3,1,15,0,5,0
25,MALE,2,1,23,28,2,16,1,3.0,Not Subscribed,5,1,22,3,0,1
70,MALE,21,1,76,13,2,19,2,3.9,Not Subscribed,0,1,2,1,4,3
42,MALE,5,1,31,31,1,22,0,3.4,Not Subscribed,4,1,30,0,6,2
27,MALE,9,1,60,17,1,4,3,2.7,Not Subscribed,4,1,27,1,4,1
65,MALE,24,1,99,45,1,4,1,3.750064716541548,Not Subscribed,1,1,18,5,1,3
62,MALE,8,0,37,48,3,18,3,3.0,Not Subscribed,2,1,8,2,0,3
62,MALE,3,2,50,36,1,15,3,4.5,Not Subscribed,1,1,48,5,3,3
52,MALE,11,1,26,28,3,17,3,4.1,Not Subscribed,2,1,24,1,4,0
56,MALE,18,1,86,13,3,14,1,5.0,Not Subscribed,3,1,43,2,4,0
28,MALE,14,2,41,20,0,11,0,4.0,Not Subscribed,4,1,8,1,5,1
39,MALE,14,2,23,25,3,18,3,4.9,Not Subscribed,1,1,49,4,0,2
54,MALE,20,2,56,4,3,1,1,3.3,Not Subscribed,0,1,2,2,1,0
30,MALE,8,0,68,13,1,15,0,4.1,Not Subscribed,4,1,38,1,3,1
45,MALE,4,3,48,47,2,13,3,3.6,Not Subscribed,1,1,4,1,3,0
68,MALE,5,1,67,22,0,6,1,3.0,Not Subscribed,2,1,31,1,2,3
47,MALE,3,2,87,34,3,6,1,4.1,Not Subscribed,0,1,34,3,2,0
68,MALE,19,1,64,22,1,21,0,3.9,Not Subscribed,4,1,45,2,4,3
63,MALE,16,1,93,45,3,8,1,4.1,Not Subscribed,5,1,30,3,5,3
20,MALE,16,1,29,6,0,12,2,2.8,Not Subscribed,3,1,2,2,3,1
29,MALE,3,2,62,41,0,3,3,4.8,Not Subscribed,5,1,44,5,4,1
41,MALE,9,1,70,7,0,3,3,4.6,Not Subscribed,0,1,1,2,1,2
52,MALE,23,1,92,44,2,2,3,2.5,Not Subscribed,3,1,1,5,1,0
32,MALE,16,1,79,17,1,10,1,2.7,Not Subscribed,3,1,27,0,6,2
20,MALE,2,1,31,33,1,15,0,4.0,Not Subscribed,4,1,14,3,2,1
47,MALE,24,1,83,36,2,7,1,2.7,Not Subscribed,4,1,41,1,6,0
23,MALE,10,3,88,11,3,4,3,2.9,Not Subscribed,3,1,25,3,1,1
43,MALE,12,0,53,44,1,10,1,3.0,Not Subscribed,4,1,47,4,5,2
67,MALE,9,1,98,47,1,8,0,3.3,Not Subscribed,4,1,20,1,0,3
70,MALE,12,0,57,16,2,7,1,4.3,Not Subscribed,5,1,42,4,0,3
35,MALE,14,2,80,48,1,14,3,4.4,Not Subscribed,1,1,16,0,4,2
41,MALE,11,1,29,23,0,19,1,4.1,Not Subscribed,3,1,32,2,2,2
54,MALE,8,0,73,24,1,13,1,3.1,Not Subscribed,0,1,37,4,5,0
55,MALE,23,1,32,3,2,21,0,4.5,Not Subscribed,4,1,1,4,4,0
51,MALE,3,2,68,49,0,21,1,4.8,Not Subscribed,3,1,37,0,6,0
19,MALE,2,1,97,38,0,8,1,5.0,Not Subscribed,1,1,5,5,5,1
28,MALE,18,1,98,43,1,22,0,2.8,Not Subscribed,3,1,31,5,3,1
63,MALE,9,1,56,19,0,4,0,3.7,Not Subscribed,1,1,18,3,0,3
30,MALE,13,1,78,9,0,23,3,4.4,Not Subscribed,0,1,39,5,2,1
29,MALE,1,0,81,29,1,13,1,4.5,Not Subscribed,5,1,8,5,1,1
24,MALE,16,1,68,28,0,22,3,3.0,Not Subscribed,2,1,20,5,4,1
69,MALE,16,1,94,36,1,22,3,3.9,Not Subscribed,0,1,23,3,2,3
65,MALE,5,1,93,3,1,1,1,3.9,Not Subscribed,1,1,38,4,3,3
64,MALE,6,0,99,32,1,4,0,3.5,Not Subscribed,3,1,45,0,3,3
40,MALE,6,0,49,47,0,24,3,4.9,Not Subscribed,3,1,44,3,3,2
24,MALE,11,1,28,43,3,2,3,3.4,Not Subscribed,4,1,20,4,4,1
66,MALE,1,0,93,40,3,4,3,4.1,Not Subscribed,4,1,34,4,1,3
35,MALE,10,3,24,28,1,18,0,2.9,Not Subscribed,3,1,10,4,6,2
67,MALE,19,1,35,19,1,9,1,3.4,Not Subscribed,2,1,3,4,0,3
69,MALE,14,2,68,40,2,0,1,3.2,Not Subscribed,0,1,23,3,3,3
26,MALE,1,0,61,16,1,12,2,3.750064716541548,Not Subscribed,2,1,42,0,0,1
23,MALE,23,1,74,8,3,24,0,4.1,Not Subscribed,4,1,30,3,0,1
27,MALE,16,1,64,42,1,19,2,4.5,Not Subscribed,4,1,21,1,2,1
30,MALE,20,2,60,30,1,13,0,2.8,Not Subscribed,4,1,50,4,6,1
48,MALE,11,1,29,40,2,20,1,2.8,Not Subscribed,1,1,16,1,1,0
44,MALE,14,2,85,29,1,19,2,4.6,Not Subscribed,4,1,32,5,0,2
29,MALE,13,1,81,13,2,9,2,3.0,Not Subscribed,2,1,14,0,3,1
29,MALE,1,0,23,17,0,20,0,3.6,Not Subscribed,0,1,42,5,1,1
67,MALE,24,1,100,47,1,4,1,4.5,Not Subscribed,3,1,47,2,2,3
42,MALE,16,1,54,18,1,14,0,5.0,Not Subscribed,1,1,21,3,6,2
23,MALE,20,2,25,11,1,6,0,2.9,Not Subscribed,3,1,37,2,4,1
34,MALE,2,1,32,31,0,19,2,3.1,Not Subscribed,3,1,10,2,0,2
64,MALE,0,0,63,25,2,14,1,4.0,Not Subscribed,0,1,18,4,2,3
31,MALE,13,1,56,23,3,15,1,4.5,Not Subscribed,1,1,2,4,2,1
54,MALE,23,1,33,1,0,3,3,4.5,Not Subscribed,3,1,40,4,0,0
23,MALE,4,3,32,24,0,1,2,3.1,Not Subscribed,1,1,43,4,0,1
59,MALE,5,1,38,38,0,18,2,4.4,Not Subscribed,3,1,14,2,2,3
32,MALE,2,1,21,10,0,10,2,4.7,Not Subscribed,5,1,41,1,5,2
43,MALE,9,1,59,39,0,3,3,3.1,Not Subscribed,5,1,38,2,2,2
32,MALE,17,2,87,41,1,12,0,4.2,Not Subscribed,1,1,12,5,0,2
66,MALE,24,1,79,24,1,22,3,3.0,Not Subscribed,5,1,19,0,4,3
70,MALE,17,2,28,24,1,10,2,3.750064716541548,Not Subscribed,2,1,23,2,1,3
42,MALE,3,2,67,24,2,11,2,3.4,Not Subscribed,2,1,49,3,0,2
56,MALE,18,1,75,23,0,8,1,4.2,Not Subscribed,0,1,29,3,5,0
28,MALE,1,0,32,3,2,10,1,4.6,Not Subscribed,4,1,14,3,1,1
28,MALE,13,1,43,16,1,8,1,2.8,Not Subscribed,2,1,19,1,4,1
52,MALE,18,1,93,6,1,12,1,2.7,Not Subscribed,1,1,19,2,1,0
65,MALE,22,0,24,35,1,11,1,4.0,Not Subscribed,4,1,48,0,6,3
56,MALE,8,0,31,4,3,20,0,3.1,Not Subscribed,2,1,19,3,0,0
59,MALE,24,1,84,24,0,14,3,3.7,Not Subscribed,1,1,45,0,2,3
23,MALE,13,1,74,46,1,22,3,4.0,Not Subscribed,3,1,17,0,5,1
58,MALE,18,1,62,31,1,24,1,4.6,Not Subscribed,4,1,15,3,2,3
39,MALE,12,0,77,13,2,14,2,3.8,Not Subscribed,2,1,11,2,3,2
28,MALE,0,0,73,36,0,6,2,3.5,Not Subscribed,1,1,1,1,4,1
40,MALE,17,2,50,42,1,9,1,3.750064716541548,Not Subscribed,2,1,17,1,4,2
52,MALE,4,3,40,8,1,21,3,2.8,Not Subscribed,4,1,37,1,6,0
37,MALE,23,1,97,38,1,14,3,3.7,Not Subscribed,4,1,40,0,6,2
70,MALE,6,0,63,42,1,9,0,3.3,Not Subscribed,1,1,50,4,2,3
30,MALE,7,0,65,44,1,4,0,2.9,Not Subscribed,4,1,20,4,1,1
38,MALE,21,1,91,19,1,10,1,3.2,Not Subscribed,4,1,8,4,1,2
66,MALE,9,1,60,1,2,6,1,4.3,Not Subscribed,5,1,16,0,5,3
29,MALE,13,1,69,11,1,10,3,2.7,Not Subscribed,3,1,9,0,5,1
46,MALE,4,3,52,47,2,23,1,3.750064716541548,Not Subscribed,5,1,12,5,4,0
56,MALE,3,2,49,27,1,10,0,4.8,Not Subscribed,0,1,26,2,6,0
23,MALE,20,2,85,36,1,4,1,4.8,Not Subscribed,5,1,44,3,3,1
37,MALE,23,1,86,41,0,19,1,3.4,Not Subscribed,1,1,19,2,1,2
56,MALE,7,0,51,0,2,24,3,2.6,Not Subscribed,4,1,43,4,3,0
36,MALE,1,0,56,13,0,13,3,5.0,Not Subscribed,3,1,5,0,2,2
40,MALE,1,0,72,11,1,15,0,4.4,Not Subscribed,3,1,5,3,2,2
26,MALE,9,1,27,38,3,24,0,3.750064716541548,Not Subscribed,4,1,31,0,5,1
57,MALE,22,0,43,2,3,24,2,3.4,Not Subscribed,0,1,11,0,4,0
68,MALE,20,2,56,8,1,9,1,3.4,Not Subscribed,4,1,34,0,4,3
56,MALE,24,1,37,31,2,22,0,4.9,Not Subscribed,3,1,14,1,0,0
40,MALE,5,1,21,26,1,23,0,3.6,Not Subscribed,4,1,42,5,6,2
44,MALE,9,1,91,23,0,23,3,3.0,Not Subscribed,2,1,15,5,1,2
44,MALE,23,1,95,44,1,5,2,3.9,Not Subscribed,0,1,47,0,4,2
19,MALE,1,0,54,26,3,17,1,3.2,Not Subscribed,4,1,23,2,3,1
21,MALE,21,1,36,39,3,1,1,3.2,Not Subscribed,3,1,23,1,1,1
31,MALE,22,0,71,7,1,14,0,4.3,Not Subscribed,3,1,1,1,2,1
30,MALE,4,3,31,44,0,12,2,2.8,Not Subscribed,0,1,28,0,5,1
65,MALE,8,0,89,13,3,14,1,4.5,Not Subscribed,3,1,37,2,1,3
39,MALE,13,1,83,36,1,20,3,4.1,Not Subscribed,3,1,4,1,2,2
64,MALE,0,0,42,19,1,7,1,3.6,Not Subscribed,0,1,21,0,5,3
59,MALE,18,1,91,8,1,2,2,3.0,Not Subscribed,0,1,50,4,1,3
49,MALE,10,3,61,13,1,5,1,4.0,Not Subscribed,2,1,34,0,0,0
24,MALE,0,0,66,42,2,18,2,3.5,Not Subscribed,3,1,20,1,5,1
19,MALE,15,0,22,26,3,16,1,2.5,Not Subscribed,5,1,25,5,2,1
27,MALE,9,1,68,32,2,5,3,4.3,Not Subscribed,5,1,26,0,3,1
56,MALE,19,1,43,0,0,1,0,2.8,Not Subscribed,1,1,4,0,0,0
49,MALE,5,1,32,0,1,0,0,3.7,Not Subscribed,3,1,39,3,4,0
41,MALE,4,3,46,5,1,7,0,4.3,Not Subscribed,1,1,29,1,6,2
36,MALE,2,1,90,48,0,18,2,4.0,Not Subscribed,1,1,47,4,5,2
68,MALE,8,0,75,7,0,24,0,4.7,Not Subscribed,1,1,5,1,2,3
28,MALE,7,0,69,13,1,11,3,4.5,Not Subscribed,5,1,18,0,3,1
45,MALE,1,0,40,14,1,11,0,3.1,Not Subscribed,2,1,10,2,3,0
